language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Jola-Kasa,csk,Atlantic-Congo,NNum,V,X,_,118/107,53/74,17/56,25/29,9/34,8/7,16/67,5/5,0/0,11/20,0/5,21/55,6/3,3/6,2/19,41/39,1/0
Sochiapam Chinantec,cso,Otomanguean,NumN,V,X,QuantN,644/33,115/26,73/9,48/0,46/1,8/2,78/8,7/0,1/2,21/3,1/5,44/24,2/0,6/1,16/0,91/5,1/0
Siyin Chin,csy,Sino-Tibetan,NNum,_,_,NQuant,285/1980,73/450,79/246,19/143,20/113,17/73,57/284,5/28,3/14,30/127,7/13,40/78,53/75,29/61,14/91,25/143,1/7
Tataltepec Chatino,cta,Otomanguean,NumN,V,X,QuantN,569/25,107/19,77/4,48/1,38/2,10/2,82/3,8/0,0/4,21/2,5/2,62/14,7/1,8/0,19/2,80/1,2/0
Tedim Chin,ctd,Sino-Tibetan,NNum,_,_,NQuant,238/2213,72/563,71/312,24/165,23/179,9/93,47/314,12/30,11/25,24/186,2/23,24/137,12/174,17/132,14/102,25/176,0/16
Western Highland Chatino,ctp,Otomanguean,NumN,_,_,QuantN,567/22,110/18,77/4,46/1,40/1,8/3,79/6,8/0,0/0,21/1,5/2,45/17,6/1,8/1,19/2,74/2,3/0
Chol,ctu,Mayan,NumN,_,_,QuantN,767/78,202/40,123/15,74/6,81/7,18/1,149/16,13/0,2/1,43/9,6/8,88/44,7/1,13/8,42/1,202/5,4/0
Cubeo,cub,Tucanoan,NumN,_,_,QuantN,211/24,69/28,43/16,24/6,33/7,9/1,77/10,8/0,5/0,21/2,3/4,50/15,1/1,9/1,19/1,49/7,2/1
Usila Chinantec,cuc,Otomanguean,NumN,_,_,QuantN,684/47,103/29,67/8,45/1,39/2,8/0,77/5,6/1,0/1,24/3,3/4,53/20,2/0,6/3,16/0,107/7,4/0
Cuiba,cui,Guahiboan,NumN,_,_,QuantN,103/10,89/21,71/5,36/9,41/2,8/2,67/16,7/1,0/1,24/1,4/3,43/25,3/2,10/0,19/3,38/5,0/0
San Blas Kuna,cuk,Chibchan,_,V,X,QuantN,78/14,26/12,32/4,7/1,6/12,6/1,12/9,3/4,0/0,5/5,1/1,14/10,0/1,3/0,6/6,26/10,1/0
Culina,cul,Arawan,NNum,V,X,NQuant,22/34,36/56,22/46,9/21,26/13,2/7,22/57,0/6,0/0,10/16,1/4,29/33,0/0,0/8,2/12,8/25,0/0
Teutila Cuicatec,cut,Otomanguean,NumN,_,_,QuantN,621/30,100/18,69/6,47/4,41/3,9/0,65/8,7/0,0/0,21/1,2/4,49/14,8/1,8/2,17/2,85/0,2/0
Tepeuxila Cuicatec,cux,Otomanguean,NumN,_,_,QuantN,772/42,129/16,77/6,51/2,44/0,8/2,80/7,5/1,0/1,23/2,3/3,53/20,8/1,8/3,19/2,80/5,3/0
Kwere,cwe,Atlantic-Congo,NNum,_,_,NQuant,81/176,30/111,11/62,9/38,8/35,1/11,10/81,1/4,1/1,3/20,0/6,18/56,1/5,0/13,3/21,15/88,0/2
Kuwaataay,cwt,Atlantic-Congo,NNum,V,1/2,_,236/103,34/86,7/65,16/34,9/36,5/8,18/66,2/7,0/0,5/25,0/6,13/56,0/7,2/7,1/20,37/40,2/0
Nopala Chatino,cya,Otomanguean,NumN,V,X,QuantN,659/37,127/16,80/6,49/2,46/0,7/4,79/7,8/0,0/5,22/4,3/4,50/19,9/1,11/3,19/1,73/3,3/0
Welsh,cym,Indo-European,NumN,_,_,QuantN,1861/353,1308/140,760/135,469/47,431/48,200/17,748/73,93/10,52/7,361/41,30/31,285/107,268/78,173/92,227/28,328/199,38/2
Zotung Chin,czt,Sino-Tibetan,NNum,_,_,NQuant,56/190,30/67,26/29,14/28,8/29,2/4,13/61,1/3,1/1,12/10,3/3,21/34,0/8,1/9,4/15,7/70,0/4
Dangaléat,daa,Afro-Asiatic,NNum,_,_,NQuant,154/116,42/86,13/68,16/27,10/31,3/10,20/56,2/6,1/4,12/15,0/7,22/46,1/1,5/4,2/18,25/42,0/0
Marik,dad,Austronesian,NNum,V,X,NQuant,70/279,47/83,31/54,15/25,25/20,0/10,15/70,1/6,4/0,15/10,4/3,24/37,2/2,3/5,6/12,20/91,0/2
Gwahatike,dah,Nuclear Trans New Guinea,NNum,V,X,NQuant,67/69,40/46,22/41,14/22,14/21,0/10,19/57,0/7,3/0,3/16,4/3,24/29,0/0,1/7,1/12,21/35,0/0
Dakota,dak,Siouan,NNum,_,_,NQuant,23/232,10/49,9/35,1/35,3/14,0/4,7/90,1/10,0/8,11/13,0/2,1/27,1/8,0/15,2/15,0/18,1/4
Danish,dan,Indo-European,NumN,_,_,QuantN,1010/62,120/23,80/6,53/2,46/0,12/0,79/10,7/0,2/1,26/1,3/4,49/24,8/1,8/2,20/2,130/6,6/0
Dargwa,dar,Nakh-Daghestanian,NumN,_,_,QuantN,93/16,56/6,18/2,2/0,23/0,2/0,10/2,2/0,0/0,11/3,3/0,25/0,0/0,3/1,2/0,15/2,0/0
Dedua,ded,Nuclear Trans New Guinea,NNum,V,X,NQuant,115/190,38/82,9/65,9/32,18/25,0/10,16/72,1/5,4/1,9/19,3/4,38/35,0/0,0/8,1/18,26/64,0/0
Desano,des,Tucanoan,NumN,_,_,QuantN,94/29,90/22,56/7,29/2,39/3,8/2,68/7,8/1,3/0,23/1,5/2,57/5,4/1,9/1,19/2,55/7,1/2
German,deu,Indo-European,NumN,_,_,QuantN,20519/638,3103/235,1845/247,1082/129,976/136,515/27,1769/153,209/21,119/29,985/101,89/16,597/271,707/28,512/64,539/35,1377/55,101/0
Casiguran Dumagat Agta,dgc,Austronesian,NumN,_,_,QuantN,418/37,97/20,58/7,40/2,40/1,7/1,73/8,6/1,0/1,17/3,4/2,41/17,6/2,5/1,15/1,79/6,2/0
Northern Dagara,dgi,Atlantic-Congo,NNum,_,_,NQuant,126/118,29/120,7/76,5/45,6/39,0/11,10/79,0/8,1/1,5/19,0/7,15/42,1/8,1/9,1/19,14/41,2/1
Dogrib,dgr,Athabaskan-Eyak-Tlingit,NumN,V,X,NQuant,159/154,68/87,68/23,24/13,26/22,7/5,55/76,9/1,5/0,10/22,3/5,37/22,6/4,8/5,22/4,42/51,2/5
Daga,dgz,Dagan,NNum,V,X,NQuant,81/78,43/70,18/61,22/19,11/27,2/10,17/46,6/0,0/0,3/17,2/4,16/42,0/0,0/5,2/14,24/40,1/1
Dhangu-Djangu,dhg,Pama-Nyungan,_,_,_,_,0/0,3/1,3/1,0/0,2/1,1/0,4/0,0/0,0/0,0/0,0/0,1/3,0/0,0/0,1/0,0/0,0/0
Zemba,dhm,Atlantic-Congo,NNum,_,_,NQuant,54/178,32/103,3/68,21/20,7/37,0/12,11/77,0/6,1/1,4/22,0/6,10/64,1/3,6/5,7/29,11/90,0/1
Digo,dig,Atlantic-Congo,NNum,_,_,NQuant,83/120,25/102,7/60,16/32,6/38,0/12,16/65,2/5,1/0,7/17,0/6,10/46,0/7,4/6,3/18,19/57,0/4
Southwestern Dinka,dik,Nilotic,NNum,_,_,NQuant,89/80,34/83,9/57,11/41,8/25,2/9,15/67,1/6,0/0,7/16,1/5,15/50,0/7,0/5,3/18,42/35,0/4
Northeastern Dinka,dip,Nilotic,NNum,_,_,_,130/178,29/109,9/60,14/40,12/29,3/9,22/68,1/6,1/1,6/20,1/5,18/83,1/9,1/9,1/21,45/66,0/1
Dimasa,dis,Sino-Tibetan,NNum,_,_,_,112/285,27/98,32/58,19/26,4/39,4/7,5/78,4/3,0/0,3/18,3/3,18/46,0/4,1/7,7/15,49/38,2/2
Zarma,dje,Songhay,NNum,_,_,NQuant,77/404,28/115,3/81,4/49,8/39,1/11,8/83,1/6,0/5,4/23,1/6,7/56,1/9,0/10,0/23,21/93,0/2
Eastern Maroon Creole,djk,Indo-European,NumN,_,_,QuantN,756/27,118/16,76/5,49/4,39/3,11/1,80/6,6/0,4/1,22/1,6/0,33/16,7/1,8/2,19/2,72/1,3/0
Djambarrpuyngu,djr,Pama-Nyungan,NumN,_,_,QuantN,131/26,80/24,43/8,15/2,23/0,4/3,39/14,3/0,0/0,10/6,2/2,25/15,1/0,3/0,11/3,38/8,0/1
Dungan,dng,Sino-Tibetan,_,_,_,QuantN,0/0,3/0,4/0,2/0,0/0,1/0,3/2,0/0,0/0,0/0,0/0,0/0,0/0,0/0,0/0,3/0,0/0
Dan,dnj,Mande,NNum,_,_,NQuant,236/217,80/180,28/104,11/54,11/72,0/23,26/86,2/13,0/1,11/29,1/12,25/85,1/7,6/14,3/31,41/104,1/0
Dobu,dob,Austronesian,NNum,V,1/3,_,277/120,56/62,15/57,13/28,25/19,2/10,20/58,3/3,0/1,8/15,2/4,36/31,3/6,2/8,1/14,26/36,1/1
Lukpa,dop,Atlantic-Congo,NNum,_,_,NQuant,84/96,35/102,23/54,6/42,12/27,0/12,12/72,4/5,1/0,3/20,0/7,19/50,1/9,1/4,0/21,16/62,0/1
Doyayo,dow,Atlantic-Congo,NNum,V,X,NQuant,111/171,29/110,10/67,3/46,7/38,2/11,10/77,0/7,3/0,3/23,0/7,10/52,1/8,2/7,1/20,10/88,0/3
Kadazan Dusun,dtp,Austronesian,NumN,_,_,QuantN,446/53,120/18,76/10,44/3,45/4,9/3,76/9,8/0,0/1,21/4,3/4,34/24,9/1,6/0,19/1,66/7,1/0
Toro So Dogon,dts,Dogon,NNum,_,_,NQuant,104/410,31/113,4/81,3/52,9/36,0/13,13/75,1/5,1/4,5/19,2/5,17/54,1/6,0/10,2/21,10/86,0/4
Umiray Dumaget Agta,due,Austronesian,NumN,V,X,QuantN,446/47,102/27,66/7,42/5,38/5,8/4,79/9,8/0,0/3,21/4,3/4,32/25,8/2,9/0,18/1,75/10,0/0
Duruma,dug,Atlantic-Congo,NNum,_,_,NQuant,99/135,37/77,6/68,17/27,7/30,1/10,6/76,2/5,1/0,8/14,1/6,15/47,0/2,6/4,4/18,24/52,0/2
Dupaninan Agta,duo,Austronesian,NumN,_,_,QuantN,445/49,99/17,54/6,42/1,41/4,10/2,67/13,6/2,0/0,20/3,5/0,51/12,9/0,6/0,22/0,80/4,2/0
Dii,dur,Atlantic-Congo,NNum,_,_,NQuant,62/137,33/104,7/71,5/42,8/39,0/12,9/69,3/5,1/2,4/23,1/6,6/52,1/9,0/9,3/17,14/67,1/1
Dawro,dwr,Ta-Ne-Omotic,NumN,_,_,QuantN,303/48,119/20,71/5,50/3,41/1,10/1,78/4,6/2,0/0,24/1,4/1,65/7,7/1,6/0,18/2,83/12,2/0
Dawawa,dww,Austronesian,NNum,V,X,NQuant,89/123,44/76,26/49,13/22,23/17,2/7,27/59,3/3,3/0,9/17,2/4,33/36,2/0,0/10,0/16,20/41,1/2
Djimini Senoufo,dyi,Atlantic-Congo,NNum,_,_,NQuant,70/151,47/101,13/64,11/42,7/37,0/13,6/77,1/6,1/0,4/19,2/5,6/64,0/8,0/8,3/19,20/74,1/2
Jola-Fonyi,dyo,Atlantic-Congo,NNum,V,X,NQuant,105/102,43/92,20/58,12/36,12/41,4/7,19/69,7/4,0/0,6/19,1/5,11/55,0/7,1/7,10/20,23/47,0/2
Dyula,dyu,Mande,NNum,_,_,NQuant,109/257,34/109,12/70,4/42,10/34,1/11,12/67,2/5,1/0,5/17,2/5,22/47,1/8,0/8,2/19,28/69,0/1
Eastern Bontok,ebk,_,NumN,_,_,QuantN,461/45,105/30,61/10,46/4,41/2,11/1,78/12,6/1,0/1,20/4,3/4,35/26,8/2,7/0,19/0,98/3,3/0
Efik,efi,Atlantic-Congo,NNum,_,_,QuantN,329/946,55/739,34/410,25/257,8/268,3/117,18/384,2/56,0/36,15/212,0/21,6/176,5/221,3/150,1/125,278/13,9/7
Ekajuk,eka,Atlantic-Congo,NNum,V,X,NQuant,54/48,34/94,17/67,22/27,12/30,2/10,12/73,2/4,0/0,4/16,0/6,32/28,5/2,6/1,3/15,29/59,1/0
Koti,eko,Atlantic-Congo,NNum,_,_,NQuant,29/42,20/52,8/38,3/9,3/23,1/4,6/50,2/10,1/8,2/22,2/6,5/17,3/10,1/17,3/16,4/12,0/2
Modern Greek (1453-),ell,Indo-European,NumN,_,_,QuantN,1241/250,307/94,191/44,125/16,119/13,27/8,218/45,15/5,7/1,66/13,8/11,134/88,21/8,17/13,46/17,286/85,9/1
Mussau-Emira,emi,Austronesian,NumN,_,_,QuantN,160/22,36/27,24/7,8/1,17/5,7/2,9/5,5/0,0/0,10/5,1/3,19/22,3/0,2/2,4/0,35/1,0/1
Northern Emberá,emp,Chocoan,NumN,V,5/6,_,87/77,40/66,10/59,5/28,5/33,7/3,52/32,6/1,1/0,15/7,4/2,46/18,2/1,5/0,14/1,43/29,0/2
Markweeta,enb,Nilotic,NNum,_,_,_,74/106,33/88,16/57,13/36,9/33,0/12,13/73,3/5,0/0,5/17,0/6,11/47,2/7,1/5,3/15,39/27,1/3
English,eng,Indo-European,NumN,_,_,QuantN,11895/582,1813/229,1059/166,638/77,640/63,263/20,1006/93,138/10,79/11,491/48,45/19,385/192,377/29,256/53,287/24,920/97,61/9
Middle English (1100-1500),enm,Indo-European,NumN,_,_,QuantN,4623/366,574/137,351/62,246/4,234/4,53/0,400/37,35/0,15/5,133/2,16/18,253/117,32/5,43/5,97/5,623/25,37/0
Enxet,enx,_,NumN,_,_,QuantN,455/31,101/26,66/9,41/3,44/1,10/2,80/7,8/0,0/2,20/4,6/1,44/23,1/1,9/1,20/2,61/9,1/0
Esperanto,epo,Artificial Language,NumN,_,_,QuantN,1000/197,639/68,367/53,242/32,248/42,110/5,375/18,53/6,32/7,190/28,18/4,124/54,209/15,129/20,118/8,261/6,10/0
Ogea,eri,Nuclear Trans New Guinea,NNum,V,X,NQuant,163/326,52/78,11/60,17/20,19/33,1/8,18/71,0/6,5/0,12/13,4/3,29/31,1/6,0/8,2/16,29/72,0/1
Ese Ejja,ese,Pano-Tacanan,NumN,_,_,QuantN,76/11,73/17,60/6,37/9,27/8,8/2,46/18,10/2,0/0,17/6,2/3,29/10,0/0,2/2,15/1,37/15,1/0
North Alaskan Inupiatun,esi,Eskimo-Aleut,NumN,_,_,QuantN,61/36,79/22,31/34,27/5,31/3,8/1,75/10,11/0,0/1,20/2,4/0,38/22,5/0,5/3,16/2,63/11,0/0
Northwest Alaska Inupiatun,esk,Eskimo-Aleut,NumN,_,_,QuantN,86/26,84/15,52/5,31/5,27/1,8/2,71/15,6/2,0/0,19/2,5/1,37/22,5/0,8/2,16/4,65/5,0/0
Estonian,est,_,NumN,_,_,QuantN,1753/287,885/122,564/66,347/39,330/56,136/5,583/34,64/9,37/14,260/19,22/14,229/103,213/40,159/27,167/16,489/14,29/4
Central Yupik,esu,Eskimo-Aleut,NNum,V,X,_,61/68,56/42,14/50,14/26,17/20,1/8,34/46,1/4,0/0,17/8,0/6,26/30,0/5,2/3,5/14,30/29,0/0
Edolo,etr,Bosavi,NNum,_,_,_,37/40,17/46,9/22,2/14,4/17,0/5,3/20,2/1,0/0,2/3,2/2,15/14,0/0,0/4,4/17,13/18,0/0
Ejagham,etu,Atlantic-Congo,NNum,V,X,_,82/102,37/92,15/62,7/25,11/34,0/9,16/65,3/3,1/0,5/18,2/3,9/51,0/7,3/6,18/1,23/38,3/0
Basque,eus,Basque,NumN,V,1/2,QuantN,162/321,223/42,141/11,105/4,88/1,22/0,161/10,10/2,1/0,48/4,6/4,116/31,18/0,11/8,40/3,193/30,0/2
Even,eve,Tungusic,NumN,_,_,QuantN,46/2,17/1,6/2,0/0,10/0,0/0,4/1,2/0,0/1,9/1,0/0,11/0,0/0,1/0,1/0,6/0,0/0
Ewe,ewe,Atlantic-Congo,NNum,_,_,NQuant,154/545,65/209,19/136,28/57,19/69,5/19,20/158,3/10,1/4,9/43,2/11,34/104,4/8,5/14,14/26,42/139,1/5
Ezaa,eza,Atlantic-Congo,NNum,V,X,QuantN,177/141,42/94,9/66,21/16,8/29,0/11,15/74,0/6,0/0,10/17,0/4,15/42,1/1,4/1,19/2,45/24,1/0
Fasu,faa,Fasu,_,V,X,_,67/51,42/59,31/45,11/17,22/17,2/8,30/44,1/6,0/0,4/11,2/4,26/25,5/2,0/10,3/28,14/17,1/0
Wagi,fad,Nuclear Trans New Guinea,_,_,_,_,27/33,7/19,4/8,0/0,1/7,1/0,2/6,0/2,1/0,4/6,0/2,5/6,0/0,0/1,1/1,3/4,0/0
Faiwol,fai,Nuclear Trans New Guinea,NNum,_,_,_,67/63,58/65,25/52,16/26,7/26,4/6,24/57,4/3,1/4,5/15,3/2,15/35,0/0,0/5,1/17,26/30,0/1
South Fali,fal,Atlantic-Congo,NNum,_,_,NQuant,86/174,35/106,7/72,14/34,9/37,0/12,10/79,3/7,0/1,4/23,1/7,8/60,1/0,0/10,2/17,23/78,0/1
Faroese,fao,Indo-European,NumN,_,_,QuantN,1811/171,685/72,405/60,252/27,250/35,105/8,376/21,51/8,34/2,204/15,17/5,128/54,219/8,130/23,118/8,259/8,18/0
Maasina Fulfulde,ffm,Atlantic-Congo,NNum,_,_,NQuant,51/146,29/112,15/67,17/37,12/35,1/11,8/81,1/6,0/1,6/19,1/6,25/49,0/9,3/7,2/18,9/77,0/2
Fijian,fij,Austronesian,NumN,_,_,QuantN,7838/520,1258/351,700/271,369/208,418/135,205/33,633/287,86/24,56/5,375/91,31/22,229/224,243/108,191/82,213/54,497/87,32/6
Filipino,fil,Austronesian,NumN,V,X,QuantN,1586/110,217/46,139/12,87/5,86/5,21/1,160/16,15/1,2/1,44/8,5/8,85/49,17/1,11/2,39/1,204/13,8/0
Finnish,fin,Uralic,NumN,_,_,QuantN,797/139,597/45,354/52,223/21,207/26,100/6,373/21,47/5,28/8,192/20,18/3,126/51,145/25,96/28,104/9,251/11,16/3
Fon,fon,Atlantic-Congo,NNum,_,_,NQuant,358/693,137/498,82/288,40/177,62/139,8/87,36/335,7/41,12/25,23/150,0/22,24/137,12/81,6/99,20/141,46/160,0/8
Fore,for,Nuclear Trans New Guinea,NumN,V,X,QuantN,220/52,64/46,45/10,48/6,22/10,7/4,67/7,8/5,0/0,17/4,1/4,44/12,1/0,4/4,7/8,53/15,0/2
French,fra,Indo-European,NumN,_,_,QuantN,62323/2250,9652/699,5672/505,3321/290,3041/332,1422/73,5240/243,670/50,412/32,2676/226,236/72,1791/780,1800/85,1334/244,1483/56,3333/253,275/12
Western Frisian,fry,Indo-European,NumN,_,_,QuantN,4448/141,686/41,389/44,241/31,242/24,111/4,366/24,50/4,31/5,202/15,18/4,129/53,186/5,139/9,120/5,263/4,14/3
Adamawa Fulfulde,fub,Atlantic-Congo,NNum,_,_,NQuant,88/130,27/110,11/74,6/43,5/41,2/9,9/70,3/4,0/2,5/20,2/4,5/55,0/7,0/7,3/17,12/74,1/1
Borgu Fulfulde,fue,Atlantic-Congo,NNum,_,_,NQuant,18/110,21/55,9/27,11/26,5/20,2/3,5/61,0/1,0/0,3/9,0/1,15/27,0/6,1/6,1/6,8/37,0/0
Pular,fuf,Atlantic-Congo,NNum,_,_,NQuant,79/120,26/118,8/70,5/48,6/40,0/12,9/77,1/6,0/0,3/22,0/7,8/67,1/8,4/5,5/17,7/97,0/1
Western Niger Fulfulde,fuh,Atlantic-Congo,NNum,_,_,NQuant,73/160,23/116,9/75,15/39,9/36,1/10,9/81,1/6,1/0,4/22,1/6,8/67,0/8,0/6,1/20,14/87,0/1
Central-Eastern Niger Fulfulde,fuq,Atlantic-Congo,NNum,_,_,NQuant,188/133,28/116,13/73,3/51,7/38,1/10,13/75,0/7,0/4,4/20,1/5,22/52,1/6,0/9,1/20,11/78,1/3
Nigerian Fulfulde,fuv,Atlantic-Congo,NNum,V,1/2,NQuant,228/141,30/99,20/60,9/27,10/31,0/10,8/77,2/4,0/2,5/16,0/6,9/50,0/0,0/9,2/14,21/68,1/1
Ga,gaa,Atlantic-Congo,NNum,_,_,NQuant,79/176,30/119,6/72,16/34,7/38,0/12,8/82,1/7,0/1,4/23,1/4,17/44,0/7,0/9,2/29,15/109,1/3
Gagauz,gag,Turkic,NumN,_,_,QuantN,1669/76,225/36,148/8,100/2,88/2,22/2,170/8,12/0,2/1,50/0,8/4,120/24,20/2,16/4,38/4,240/10,10/0
Alekano,gah,Nuclear Trans New Guinea,NNum,_,_,NQuant,63/75,36/50,10/70,12/34,20/18,0/9,19/60,0/4,0/0,7/19,0/2,29/32,0/0,2/2,0/14,9/21,0/0
Kandawo,gam,Nuclear Trans New Guinea,NNum,V,X,_,98/90,35/85,39/36,20/18,17/24,2/8,24/61,5/2,4/1,8/17,1/5,18/35,1/0,1/7,2/15,32/48,0/0
Nobonob,gaw,Nuclear Trans New Guinea,NNum,_,_,_,72/80,48/69,24/55,20/17,16/20,1/7,17/61,0/5,0/0,4/15,2/4,22/30,0/4,0/4,1/15,31/40,0/0
Galela,gbi,North Halmahera,NNum,V,1/2,_,242/39,30/88,5/77,9/34,8/38,1/9,13/70,3/4,0/1,7/14,3/3,16/55,1/4,0/9,2/13,23/33,0/0
Northern Grebo,gbo,Atlantic-Congo,NNum,_,_,QuantN,71/85,44/86,18/66,14/34,10/32,1/8,17/71,2/6,1/1,5/19,2/6,17/50,3/2,1/6,0/17,38/57,4/0
Gbagyi,gbr,Atlantic-Congo,NNum,_,_,NQuant,52/82,32/62,24/43,11/19,10/27,3/7,17/53,2/4,0/0,5/19,0/5,14/35,1/2,2/5,2/16,9/14,1/1
Gude,gde,Afro-Asiatic,NNum,V,1/2,NQuant,270/112,30/101,27/60,22/28,11/36,1/11,21/61,3/4,0/4,3/20,1/6,18/59,2/8,1/7,4/16,24/60,0/3
Ga'dang,gdg,Austronesian,NumN,_,_,QuantN,352/52,89/22,54/7,36/6,31/7,6/3,61/17,5/0,0/0,16/5,4/3,37/22,4/2,5/2,16/1,81/2,1/0
Umanakaina,gdn,Dagan,NNum,V,X,NQuant,65/84,42/57,26/40,10/38,6/28,1/14,21/53,3/0,0/0,5/14,2/4,19/28,0/1,2/7,1/14,19/35,0/1
Wipi,gdr,Eastern Trans-Fly,NumN,_,_,QuantN,475/32,116/11,72/5,76/1,46/1,20/2,77/4,7/0,0/0,22/1,7/1,67/5,8/1,10/3,29/5,102/2,2/0
Kire,geb,Lower Sepik-Ramu,NumN,V,X,_,44/61,40/53,34/65,31/9,39/3,8/1,83/6,5/1,0/0,23/1,1/4,43/15,3/1,6/2,12/4,27/37,0/0
Gen,gej,Atlantic-Congo,NNum,V,X,NQuant,58/150,31/107,13/68,6/35,10/31,0/10,9/71,1/6,0/4,4/16,0/6,23/48,4/0,0/9,4/12,23/71,1/2
Patpatar,gfk,Austronesian,NumN,_,_,QuantN,801/36,119/13,68/5,53/2,42/3,7/0,79/8,7/0,4/1,23/2,4/3,40/22,9/1,10/0,27/0,103/3,4/0
Southern Ghale,ghe,Sino-Tibetan,NumN,V,X,QuantN,76/282,41/84,41/37,17/31,12/32,7/3,24/57,4/1,4/0,2/23,7/0,70/3,6/1,3/5,19/1,81/23,0/0
Guhu-Samane,ghs,Nuclear Trans New Guinea,NNum,V,X,_,62/85,24/51,15/44,11/16,12/19,1/6,16/45,1/3,3/0,6/14,0/3,19/26,0/0,1/4,1/10,17/23,0/0
Gidar,gid,Afro-Asiatic,NNum,_,_,NQuant,65/139,31/108,17/67,11/42,8/38,1/10,11/69,4/4,0/0,5/19,1/6,6/67,0/9,1/6,2/18,22/55,0/1
Gilbertese,gil,Austronesian,NumN,V,X,_,528/75,60/60,53/25,30/22,30/14,8/2,28/48,5/1,0/4,20/7,0/6,32/33,2/5,4/6,19/2,46/38,2/0
South Giziga,giz,Afro-Asiatic,NNum,_,_,NQuant,424/418,121/619,57/404,50/207,53/163,9/102,50/347,5/63,4/32,29/149,0/19,14/164,11/137,6/137,29/115,31/148,1/7
Gonja,gjn,Atlantic-Congo,NNum,_,_,NQuant,50/106,36/97,5/77,16/47,8/37,2/10,12/77,4/3,0/4,3/22,0/6,16/54,0/8,0/8,2/19,19/83,1/1
Gokana,gkn,Atlantic-Congo,NumN,_,_,QuantN,434/45,118/17,76/5,37/4,46/1,11/2,84/4,8/0,4/1,20/2,2/4,53/17,8/0,5/0,19/0,92/1,4/0
Guinea Kpelle,gkp,Mande,NNum,_,_,NQuant,344/546,172/432,95/301,56/160,45/115,15/76,46/320,10/43,7/25,44/134,5/14,44/89,38/86,31/105,22/151,61/105,0/3
Scottish Gaelic,gla,Indo-European,_,V,X,QuantN,14/3,13/3,11/0,3/1,5/0,1/0,6/0,0/0,0/0,0/1,0/1,1/12,0/0,0/0,1/0,14/0,2/0
Irish,gle,Indo-European,NumN,_,_,QuantN,550/134,743/76,436/49,240/32,261/34,113/9,374/34,63/6,38/4,197/16,14/17,119/67,154/83,114/49,112/25,215/18,18/2
Gilaki,glk,Indo-European,_,_,_,_,26/2,10/2,4/0,4/0,4/0,4/0,0/0,1/0,0/0,0/0,0/0,3/2,0/0,1/0,1/0,5/3,0/0
Manx,glv,Indo-European,NumN,_,_,QuantN,117/28,85/17,46/3,13/0,38/0,9/0,21/5,4/0,2/1,18/2,1/3,24/22,1/1,10/4,5/1,58/1,1/0
Gamo,gmv,Ta-Ne-Omotic,NumN,_,_,QuantN,570/66,229/44,144/11,93/3,82/4,17/4,152/18,15/0,5/0,42/4,10/4,121/23,5/1,19/2,57/9,160/26,5/0
Gangte,gnb,Sino-Tibetan,NNum,_,_,NQuant,67/314,29/101,19/57,5/45,12/31,0/12,12/74,2/6,0/0,5/17,3/3,33/27,2/7,2/6,4/16,19/94,1/3
Zulgo-Gemzek,gnd,Afro-Asiatic,NNum,_,_,QuantN,59/91,39/97,8/73,15/32,6/36,4/9,22/54,2/4,1/3,7/15,1/5,8/50,0/9,1/8,5/16,30/15,0/1
Ngangam,gng,Atlantic-Congo,NNum,_,_,NQuant,73/141,32/101,23/61,7/39,8/34,1/8,10/72,5/3,0/0,5/20,1/6,13/60,1/7,0/6,0/19,16/60,0/0
Gumatj,gnn,Pama-Nyungan,NumN,_,_,QuantN,197/32,111/45,70/9,23/7,20/1,13/0,53/19,4/1,0/1,12/15,2/2,27/18,4/2,5/3,18/8,37/3,0/0
Western Bolivian Guaraní,gnw,Tupian,NumN,V,X,QuantN,552/41,113/18,72/8,40/0,42/2,11/1,79/10,8/0,1/2,23/1,1/5,58/14,8/1,6/0,16/4,110/5,4/0
Gofa,gof,Ta-Ne-Omotic,NumN,_,_,QuantN,320/36,120/13,79/2,49/2,43/1,10/0,77/2,7/0,0/0,22/3,6/0,69/3,6/1,6/0,16/3,89/12,2/0
Gogo,gog,Atlantic-Congo,NNum,_,_,NQuant,90/169,36/92,15/56,25/24,12/26,0/12,10/78,1/7,0/1,7/16,0/6,14/59,1/2,0/14,6/26,16/71,1/1
Gorontalo,gor,Austronesian,NumN,_,_,QuantN,186/148,84/59,57/15,46/6,40/4,8/3,71/11,8/0,0/0,16/8,3/4,47/15,3/0,6/0,19/0,68/10,1/1
Gothic,got,Indo-European,_,V,X,_,81/37,35/14,12/8,4/3,12/4,0/2,11/3,0/2,1/0,11/1,1/0,9/20,0/0,2/1,1/2,27/19,1/0
Gor,gqr,Central Sudanic,NNum,_,_,_,119/132,33/112,19/69,17/37,11/34,2/11,18/73,1/7,2/1,5/19,0/7,7/66,0/6,0/9,4/17,26/40,0/0
Ancient Greek (to 1453),grc,Indo-European,NumN,_,_,_,1607/1289,1433/536,749/461,513/208,475/224,182/141,937/346,67/76,46/31,395/145,46/32,403/390,279/216,228/139,227/169,636/594,27/22
Garo,grt,Sino-Tibetan,NumN,V,X,QuantN,347/94,69/34,44/26,29/6,20/12,4/3,60/13,4/3,0/0,8/6,6/0,41/27,2/1,1/3,3/11,75/21,1/0
