language,iso,family,dominant,variation,serial,dominant_quantifiers,one,two,three,four,five,six,seven,eight,nine,ten,eleven,twelve,twenty,thirty,forty,several,few
Wantoat,wnc,Nuclear Trans New Guinea,_,_,_,QuantN,56/48,31/42,7/49,12/17,12/26,6/9,20/50,5/5,0/0,13/11,3/3,20/28,1/0,1/4,2/12,22/10,0/1
Usan,wnu,Nuclear Trans New Guinea,NNum,V,1/3,_,83/52,47/59,23/41,13/9,9/19,3/7,26/47,1/5,0/0,3/17,0/2,24/23,0/2,1/6,3/12,19/14,0/0
Wè Northern,wob,Atlantic-Congo,NNum,_,_,NQuant,123/186,45/93,9/69,8/41,9/35,1/11,19/117,2/9,0/1,4/20,1/6,12/45,0/5,2/7,0/33,24/59,0/1
Wolof,wol,Atlantic-Congo,NumN,_,_,NQuant,232/59,120/25,70/9,47/9,40/4,9/3,82/3,5/2,1/0,24/1,3/4,48/22,8/1,7/2,18/3,23/45,2/0
Hanga Hundi,wos,Ndu,_,V,X,QuantN,125/52,51/70,33/35,10/17,19/17,2/7,37/59,8/2,0/0,7/13,3/2,23/20,1/1,1/4,17/4,71/11,0/0
Waris,wrs,Border,NumN,V,X,QuantN,189/25,56/48,44/23,23/10,14/6,5/5,70/29,5/2,0/0,18/10,1/5,25/18,4/5,7/9,9/11,32/11,0/1
Waskia,wsk,Nuclear Trans New Guinea,NNum,V,X,NQuant,180/261,51/117,24/85,13/36,23/26,1/12,22/108,1/8,5/0,9/28,4/5,26/40,6/6,5/13,3/26,20/43,0/0
Wuvulu-Aua,wuv,Austronesian,NumN,_,_,QuantN,686/59,106/27,68/9,49/3,43/6,11/1,81/10,6/2,0/1,23/4,3/4,35/23,8/2,6/3,29/1,108/4,3/0
Waama,wwa,Atlantic-Congo,NNum,_,_,NQuant,49/87,30/102,18/63,16/27,5/37,2/11,20/61,4/4,0/1,4/22,1/6,13/48,1/8,0/10,1/20,17/65,0/0
Kalmyk,xal,Mongolic,NumN,_,_,QuantN,259/25,109/19,71/1,39/13,39/5,9/1,75/9,8/0,5/0,22/1,7/0,54/1,6/1,8/1,18/1,71/4,2/0
Xavánte,xav,Nuclear-Macro-Je,_,V,X,_,66/31,44/43,33/24,27/8,21/14,1/4,47/25,3/2,0/0,17/6,2/4,36/22,1/0,4/0,8/7,21/30,0/1
Kombio,xbi,Nuclear Torricelli,_,V,X,QuantN,42/20,46/52,12/27,9/2,15/17,5/7,17/13,3/1,0/0,7/1,4/0,22/11,0/0,2/7,3/6,21/12,0/0
Kambera,xbr,Austronesian,NumN,V,X,QuantN,251/52,81/44,76/12,37/12,39/9,9/1,57/21,5/1,0/2,12/8,1/4,43/27,7/3,5/1,16/1,39/2,0/0
Hdi,xed,Afro-Asiatic,NNum,V,X,QuantN,359/99,45/99,28/58,26/21,12/35,3/9,23/60,5/2,0/4,11/13,0/7,10/55,2/8,2/5,3/22,65/5,0/0
Xhosa,xho,Atlantic-Congo,NNum,_,_,NQuant,972/990,633/1393,314/910,241/468,269/379,79/230,190/921,55/94,46/40,197/361,10/48,170/349,317/287,186/245,127/237,106/500,11/25
Kamula,xla,Kamula-Elevala,NNum,V,X,_,81/67,56/87,31/55,14/28,20/18,3/13,40/83,6/3,0/0,9/19,1/6,29/26,5/4,14/3,18/8,4/6,0/0
Konkomba,xon,Atlantic-Congo,NNum,_,_,NQuant,87/104,47/191,21/92,14/68,15/71,2/17,20/146,2/12,0/2,10/41,2/10,19/100,1/16,0/20,4/35,44/110,0/2
Eastern Karaboro,xrb,Atlantic-Congo,NNum,_,_,NQuant,64/116,34/91,13/60,14/20,8/27,0/11,9/74,2/7,0/1,6/16,2/3,16/42,0/5,1/7,1/18,24/44,0/0
Sio,xsi,Austronesian,NNum,V,1/2,_,98/61,46/85,19/59,21/17,11/30,1/10,13/67,3/3,0/0,6/16,1/6,10/47,0/0,1/7,2/11,36/47,0/0
Kasem,xsm,Atlantic-Congo,NNum,_,_,NQuant,51/105,36/78,21/40,5/20,6/36,3/9,16/66,3/5,1/3,4/22,0/7,15/50,0/1,0/9,2/14,28/60,0/2
Sanumá,xsu,Yanomamic,NumN,_,_,QuantN,82/10,87/16,52/5,29/1,33/3,6/1,64/11,4/2,0/1,14/7,5/1,40/8,1/0,4/0,13/0,28/8,2/0
Diuxi-Tilantongo Mixtec,xtd,Otomanguean,NumN,_,_,QuantN,525/32,102/18,76/7,44/3,41/1,9/0,63/6,7/0,0/1,17/3,4/3,51/16,7/1,8/0,19/0,79/2,2/0
